end_time,lecture,lecture_name,lecture_no,sentence,start_time,sub_lecture,tokenized_sentence
00:00:03,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,[SOUND],00:00:00,14,SOUND
00:00:11,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,We can compute this maximum estimate,00:00:08,14,We compute maximum estimate
00:00:12,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,by using the EM algorithm.,00:00:11,14,using EM algorithm
00:00:16,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"So in the e step, we now have to introduce more hidden",00:00:12,14,So e step introduce hidden
00:00:21,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"variables because we have more topics, so our hidden variable z now,",00:00:16,14,variables topics hidden variable z
00:00:25,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,which is a topic indicator can take more than two values.,00:00:21,14,topic indicator take two values
00:00:28,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"So specifically will take a k plus one values,",00:00:25,14,So specifically take k plus one values
00:00:32,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,with b in the noting the background.,00:00:28,14,b noting background
00:00:35,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"And once locate, to denote other k topics, right.",00:00:32,14,And locate denote k topics right
00:00:40,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"So, now the e step, as you can recall is your augmented data, and",00:00:36,14,So e step recall augmented data
00:00:44,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,by predicting the values of the hidden variable.,00:00:40,14,predicting values hidden variable
00:00:47,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,So we're going to predict for,00:00:44,14,So going predict
00:00:52,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"a word, whether the word has come from one of these k plus one distributions.",00:00:47,14,word whether word come one k plus one distributions
00:00:57,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,This equation allows us to predict the probability,00:00:52,14,This equation allows us predict probability
00:01:01,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,that the word w in document d is generated from topic zero sub j.,00:00:57,14,word w document generated topic zero sub j
00:01:06,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,And the bottom one is the predicted probability that this,00:01:03,14,And bottom one predicted probability
00:01:08,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,word has been generated from the background.,00:01:06,14,word generated background
00:01:14,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,Note that we use document d here to index the word.,00:01:08,14,Note use document index word
00:01:14,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,Why?,00:01:14,14,Why
00:01:18,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,Because whether a word is from a particular topic,00:01:14,14,Because whether word particular topic
00:01:20,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,actually depends on the document.,00:01:18,14,actually depends document
00:01:22,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,Can you see why?,00:01:20,14,Can see
00:01:24,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"Well, it's through the pi's.",00:01:22,14,Well pi
00:01:26,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,The pi's are tied to each document.,00:01:24,14,The pi tied document
00:01:31,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"Each document can have potentially different pi's, right.",00:01:26,14,Each document potentially different pi right
00:01:33,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,The pi's will then affect our prediction.,00:01:31,14,The pi affect prediction
00:01:35,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"So, the pi's are here.",00:01:33,14,So pi
00:01:36,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,And this depends on the document.,00:01:35,14,And depends document
00:01:41,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,And that might give a different guess for,00:01:38,14,And might give different guess
00:01:44,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"a word in different documents, and that's desirable.",00:01:41,14,word different documents desirable
00:01:50,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,"In both cases we are using the Baye's Rule, as I explained, basically",00:01:46,14,In cases using Baye Rule I explained basically
00:01:55,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,assessing the likelihood of generating word from each of this division and,00:01:50,14,assessing likelihood generating word division
00:01:56,3,Probabilistic Latent Semantic Analysis (PLSA)- Part 2,2.14,there's normalize.,00:01:55,14,normalize
