,end_time,lecture,lecture_name,lecture_no,sentence,start_time,sub_lecture,tokenized_sentence
0,00:00:01,2,TF Transformation,1.8,[SOUND],00:00:00,8,SOUND
1,00:00:15,2,TF Transformation,1.8,"In this lecture, we continue the discussion of Vector Space Model.",00:00:10,8,In lecture continue discussion Vector Space Model
2,00:00:18,2,TF Transformation,1.8,"In particular, we are going to talk about the TF transformation.",00:00:15,8,In particular going talk TF transformation
3,00:00:20,2,TF Transformation,1.8,"In the previous lecture,",00:00:18,8,In previous lecture
4,00:00:25,2,TF Transformation,1.8,we have derived a TF-IDF weighting formula using the vector space model.,00:00:20,8,derived TF IDF weighting formula using vector space model
5,00:00:32,2,TF Transformation,1.8,And we have shown that this model actually works pretty well for,00:00:27,8,And shown model actually works pretty well
6,00:00:37,2,TF Transformation,1.8,"these examples as shown on this slide except for d5,",00:00:32,8,examples shown slide except d5
7,00:00:41,2,TF Transformation,1.8,which has received a very high score.,00:00:37,8,received high score
8,00:00:46,2,TF Transformation,1.8,"Indeed, it has received the highest score among all these documents.",00:00:41,8,Indeed received highest score among documents
9,00:00:53,2,TF Transformation,1.8,"But this document is intuitively non-relevant, so this is not desirable.",00:00:46,8,But document intuitively non relevant desirable
10,00:00:57,2,TF Transformation,1.8,"In this lecture, we're going to talk about how would you use TF",00:00:53,8,In lecture going talk would use TF
11,00:01:00,2,TF Transformation,1.8,transformation to solve this problem.,00:00:57,8,transformation solve problem
12,00:01:05,2,TF Transformation,1.8,"Before we discuss the details, let's take a look at the formula for",00:01:00,8,Before discuss details let take look formula
13,00:01:09,2,TF Transformation,1.8,this symbol here for IDF weighting ranking function and,00:01:05,8,symbol IDF weighting ranking function
14,00:01:13,2,TF Transformation,1.8,see why this document has received such a high score.,00:01:09,8,see document received high score
15,00:01:17,2,TF Transformation,1.8,"So this is the formula, and if you look at the formula carefully,",00:01:13,8,So formula look formula carefully
16,00:01:23,2,TF Transformation,1.8,then you will see it involves a sum over all the matched query terms.,00:01:17,8,see involves sum matched query terms
17,00:01:28,2,TF Transformation,1.8,"And inside the sum, each matched query sum has a particular weight.",00:01:23,8,And inside sum matched query sum particular weight
18,00:01:30,2,TF Transformation,1.8,And this weight is TF-IDF weighting.,00:01:28,8,And weight TF IDF weighting
19,00:01:36,2,TF Transformation,1.8,So it has an IDF component where we see 2 variables.,00:01:31,8,So IDF component see 2 variables
20,00:01:41,2,TF Transformation,1.8,"One is the total number of documents in the collection, and that is m.",00:01:36,8,One total number documents collection
21,00:01:45,2,TF Transformation,1.8,The other is the documentive frequency.,00:01:41,8,The documentive frequency
22,00:01:52,2,TF Transformation,1.8,This is the number of documents that contain this word w.,00:01:45,8,This number documents contain word w
23,00:01:54,2,TF Transformation,1.8,"The other variables in, involving the formula,",00:01:52,8,The variables involving formula
24,00:01:58,2,TF Transformation,1.8,include the count of the query term.,00:01:54,8,include count query term
25,00:02:06,2,TF Transformation,1.8,"W in the query, and the count of the word in the document.",00:02:01,8,W query count word document
26,00:02:11,2,TF Transformation,1.8,"If you look at this document again, now it's not hard to",00:02:07,8,If look document hard
27,00:02:16,2,TF Transformation,1.8,realize that the reason why it has received a high score is because,00:02:11,8,realize reason received high score
28,00:02:21,2,TF Transformation,1.8,it has a very high count of campaign.,00:02:16,8,high count campaign
29,00:02:27,2,TF Transformation,1.8,"So the count of campaign in this document is a four, which is much higher than",00:02:21,8,So count campaign document four much higher
30,00:02:31,2,TF Transformation,1.8,"the other documents, and has contributed to the high score of this document.",00:02:27,8,documents contributed high score document
31,00:02:37,2,TF Transformation,1.8,"So intriguingly, in order to lower the score for this document, we need",00:02:31,8,So intriguingly order lower score document need
32,00:02:43,2,TF Transformation,1.8,"to somehow restrict the contribution of, the matching of this term in the document.",00:02:37,8,somehow restrict contribution matching term document
33,00:02:48,2,TF Transformation,1.8,And if you think about the matching of terms in the document carefully you,00:02:44,8,And think matching terms document carefully
34,00:02:53,2,TF Transformation,1.8,actually would realize we probably shouldn't reward,00:02:48,8,actually would realize probably reward
35,00:02:58,2,TF Transformation,1.8,multiple occurrences so generously.,00:02:53,8,multiple occurrences generously
36,00:03:04,2,TF Transformation,1.8,"And by that I mean the first occurrence of a term says a lot about the,",00:02:58,8,And I mean first occurrence term says lot
37,00:03:09,2,TF Transformation,1.8,"the matching of this term, because it goes from zero count",00:03:04,8,matching term goes zero count
38,00:03:15,2,TF Transformation,1.8,"to a count of one, and that increase means a lot.",00:03:09,8,count one increase means lot
39,00:03:19,2,TF Transformation,1.8,"Once we see a word in the document,",00:03:17,8,Once see word document
40,00:03:21,2,TF Transformation,1.8,it's very likely that the document is talking about this word.,00:03:19,8,likely document talking word
41,00:03:26,2,TF Transformation,1.8,"If we see an extra occurrence on top of the first occurrence,",00:03:23,8,If see extra occurrence top first occurrence
42,00:03:34,2,TF Transformation,1.8,"that is to go from one to two, then we also can say that well, the second",00:03:28,8,go one two also say well second
43,00:03:38,2,TF Transformation,1.8,occurrence kind of confirmed that it's not a accidental mention of the word.,00:03:34,8,occurrence kind confirmed accidental mention word
44,00:03:44,2,TF Transformation,1.8,"Now, we are more sure that this document is talking about this word.",00:03:39,8,Now sure document talking word
45,00:03:50,2,TF Transformation,1.8,"But imagine we have seen, let's say, 50 times of the word in the document.",00:03:44,8,But imagine seen let say 50 times word document
46,00:03:54,2,TF Transformation,1.8,"Then, adding one extra occurrence is not going to test more about",00:03:50,8,Then adding one extra occurrence going test
47,00:03:59,2,TF Transformation,1.8,evidence because we are already sure that this document is about this word.,00:03:54,8,evidence already sure document word
48,00:04:04,2,TF Transformation,1.8,So if you're thinking this way it seems that,00:04:01,8,So thinking way seems
49,00:04:08,2,TF Transformation,1.8,we should restrict the contributing of a high account of term.,00:04:04,8,restrict contributing high account term
50,00:04:12,2,TF Transformation,1.8,And that is the idea of TF Transformation.,00:04:09,8,And idea TF Transformation
51,00:04:17,2,TF Transformation,1.8,So this transformation function is going to turn the raw count of word,00:04:12,8,So transformation function going turn raw count word
52,00:04:22,2,TF Transformation,1.8,"into a Term Frequency Weight, for the word in the document.",00:04:17,8,Term Frequency Weight word document
53,00:04:27,2,TF Transformation,1.8,"So here I show in x-axis, that raw count,",00:04:22,8,So I show x axis raw count
54,00:04:31,2,TF Transformation,1.8,and in y-axis I show the Term Frequency Weight.,00:04:27,8,axis I show Term Frequency Weight
55,00:04:37,2,TF Transformation,1.8,"So, in the previous ranking functions we actually have increasingly,",00:04:33,8,So previous ranking functions actually increasingly
56,00:04:40,2,TF Transformation,1.8,used some kind of transformation.,00:04:37,8,used kind transformation
57,00:04:44,2,TF Transformation,1.8,So for example in the zero-one bit vector retentation we actually use,00:04:40,8,So example zero one bit vector retentation actually use
58,00:04:49,2,TF Transformation,1.8,the Suchier transformation function as shown here.,00:04:44,8,Suchier transformation function shown
59,00:04:53,2,TF Transformation,1.8,Basically if the count is zero then it has zero weight.,00:04:49,8,Basically count zero zero weight
60,00:04:55,2,TF Transformation,1.8,Otherwise it would have a weight of one.,00:04:53,8,Otherwise would weight one
61,00:04:58,2,TF Transformation,1.8,It's flat.,00:04:57,8,It flat
62,00:05:04,2,TF Transformation,1.8,Now what about using Term Count as a TF weight.,00:04:59,8,Now using Term Count TF weight
63,00:05:06,2,TF Transformation,1.8,"Well that's a linear function, right?",00:05:04,8,Well linear function right
64,00:05:10,2,TF Transformation,1.8,So it has just exactly the same weight as the count.,00:05:06,8,So exactly weight count
65,00:05:16,2,TF Transformation,1.8,Now we have just seen that this is not desirable.,00:05:11,8,Now seen desirable
66,00:05:20,2,TF Transformation,1.8,So what we want is something like this.,00:05:18,8,So want something like
67,00:05:22,2,TF Transformation,1.8,"So for example with a logarithm function,",00:05:20,8,So example logarithm function
68,00:05:26,2,TF Transformation,1.8,we can have a sub-linear transformation that looks like this.,00:05:22,8,sub linear transformation looks like
69,00:05:30,2,TF Transformation,1.8,And this will control the influence of really high weight because it's going to,00:05:26,8,And control influence really high weight going
70,00:05:35,2,TF Transformation,1.8,"lower its inference, yet it will retain the inference of small count.",00:05:30,8,lower inference yet retain inference small count
71,00:05:41,2,TF Transformation,1.8,Or we might want to even bend the curve more by applying logarithm twice.,00:05:36,8,Or might want even bend curve applying logarithm twice
